track,question_id,judge,scalar_preference,pairwise_forward,pairwise_reverse,position_consistent
gemini,26,pro,TIE,TIE,TIE,True
gemini,27,flash,TIE,Claude Opus 5,Claude Opus 5,True
gemini,27,pro,TIE,TIE,TIE,True
gemini,28,flash,TIE,TIE,TIE,True
gemini,28,pro,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
gemini,29,flash,TIE,TIE,TIE,True
gemini,29,pro,TIE,Claude Opus 5,TIE,False
openai,0,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,0,sol,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,1,luna,TIE,TIE,Claude Opus 5,False
openai,1,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,2,luna,Claude Opus 5,TIE,TIE,True
openai,2,sol,TIE,TIE,TIE,True
openai,3,luna,TIE,TIE,TIE,True
openai,3,sol,TIE,TIE,Claude Opus 5,False
openai,4,luna,TIE,TIE,Gemini 3.1 Pro Preview,False
openai,4,sol,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,5,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,5,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,6,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,6,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,7,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,7,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,8,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,8,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,9,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,9,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,10,luna,Gemini 3.1 Pro Preview,Claude Opus 5,Claude Opus 5,True
openai,10,sol,Claude Opus 5,TIE,Claude Opus 5,False
openai,11,luna,TIE,Gemini 3.1 Pro Preview,Claude Opus 5,False
openai,11,sol,TIE,Gemini 3.1 Pro Preview,TIE,False
openai,12,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,12,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,13,luna,Claude Opus 5,Gemini 3.1 Pro Preview,Claude Opus 5,False
openai,13,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,14,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,14,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,15,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,15,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,16,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,16,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,17,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,17,sol,TIE,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,18,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,18,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,19,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,19,sol,TIE,TIE,Claude Opus 5,False
openai,20,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,20,sol,TIE,TIE,TIE,True
openai,21,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,21,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,22,luna,TIE,Gemini 3.1 Pro Preview,Claude Opus 5,False
openai,22,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,23,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,23,sol,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,24,luna,TIE,Claude Opus 5,Gemini 3.1 Pro Preview,False
openai,24,sol,TIE,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,25,luna,TIE,Claude Opus 5,Claude Opus 5,True
openai,25,sol,Gemini 3.1 Pro Preview,Claude Opus 5,Claude Opus 5,True
openai,26,luna,Claude Opus 5,TIE,Claude Opus 5,False
openai,26,sol,TIE,Claude Opus 5,Claude Opus 5,True
openai,27,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,27,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,28,luna,Gemini 3.1 Pro Preview,Claude Opus 5,Claude Opus 5,True
openai,28,sol,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,True
openai,29,luna,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
openai,29,sol,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
